BJD,AIRMASS,SKY,TFLUX,CFLUX1,CFLUX2,CFLUX3,CFLUX4,CFLUX5
   9018.548516, 1.502,   857.0,    117542.2,    311835.6,    304230.0,    215513.0,    275144.2,    124173.2
   9018.550191, 1.499,   909.0,    118992.7,    311445.8,    302989.6,    214948.6,    279324.6,    125086.1
   9018.551868, 1.495,   962.0,    119960.8,    321652.9,    313187.1,    221026.7,    285724.9,    127495.5
   9018.553544, 1.492,  1021.0,    120230.0,    315755.1,    306991.6,    218157.3,    281227.0,    126085.8
   9018.555218, 1.489,  1090.0,    117408.7,    307837.9,    301470.6,    210596.3,    273514.0,    124155.5
   9018.556892, 1.486,  1161.0,    112653.8,    298536.6,    287856.5,    204017.2,    263865.6,    116810.8
   9018.558566, 1.482,  1229.0,    114724.1,    299961.5,    294712.8,    208425.6,    269810.0,    121721.8
   9018.560241, 1.479,  1301.0,    121433.9,    319720.6,    313114.4,    217667.3,    285499.2,    127538.9
   9018.561915, 1.476,  1371.0,    115225.6,    306711.6,    294598.0,    208114.4,    272332.8,    122002.5
   9018.563590, 1.473,  1446.0,    121404.5,    317717.5,    309074.7,    218139.2,    283214.8,    125840.0
   9018.565264, 1.470,  1538.0,    117595.9,    308057.9,    298467.8,    211836.4,    273792.9,    123992.2
   9018.566939, 1.468,  1624.0,    118582.5,    308687.3,    300498.8,    211633.6,    275485.5,    123990.2
   9018.568614, 1.465,  1718.0,    119014.9,    313480.9,    304050.7,    214887.0,    277202.5,    123488.2
   9018.570288, 1.462,  1817.0,    124185.2,    325159.7,    318664.2,    223857.8,    288291.5,    129955.4
   9018.573641, 1.457,  2025.0,    123672.9,    328335.3,    317948.6,    223828.0,    290547.5,    129437.1
   9018.575320, 1.454,  2150.0,    123809.3,    328871.6,    321346.0,    226097.8,    289752.9,    131421.7
   9018.576994, 1.452,  2280.0,    124362.3,    325745.7,    317657.7,    223552.0,    289651.6,    128866.7
   9018.578670, 1.449,  2407.0,    123341.7,    324009.5,    313692.7,    222322.8,    287224.2,    128996.9
   9018.580344, 1.447,  2550.0,    120473.8,    318989.5,    310338.0,    219572.5,    284478.3,    126532.0
   9018.583697, 1.442,  2865.0,    119532.3,    314495.6,    304148.7,    215049.9,    279295.2,    124495.7
   9018.590414, 1.434,  3508.0,    121342.2,    322643.7,    314917.4,    221416.9,    287576.6,    129661.5
   9018.592088, 1.431,  3703.0,    123246.4,    326726.2,    317768.8,    225123.8,    289706.3,    130663.6
   9018.595437, 1.428,  4118.0,    119703.4,    316240.2,    308588.9,    217400.8,    283245.2,    125596.7
   9018.597112, 1.426,  4317.0,    121004.1,    314446.2,    302483.4,    214443.1,    280153.8,    126981.9
   9018.600460, 1.422,  4732.0,    122920.1,    327522.3,    317380.1,    224223.8,    289946.8,    128380.6
   9018.602136, 1.420,  4942.0,    124372.8,    325074.8,    317914.1,    224348.0,    288081.8,    130340.9
   9018.603814, 1.419,  5194.0,    123931.1,    325385.8,    317356.9,    223307.9,    287658.2,    128686.9
   9018.607168, 1.415,  5711.0,    122779.0,    322947.2,    313194.5,    221010.5,    286040.8,    129275.6
   9018.608844, 1.414,  5925.0,    117431.4,    303265.6,    302884.4,    212398.1,    275656.9,    123965.5
   9018.610519, 1.412,  6177.0,    122883.1,    321313.0,    312006.4,    221088.4,    285555.9,    127060.2
   9018.613872, 1.409,  6726.0,    106486.1,    275962.0,    269022.1,    190019.0,    246539.6,    110233.1
   9018.617224, 1.407,  7285.0,    122116.4,    323655.0,    314027.4,    223498.5,    286853.5,    129703.2
   9018.618898, 1.406,  7545.0,    121950.5,    321575.0,    315245.9,    219623.6,    287036.9,    127934.0
   9018.620572, 1.404,  7795.0,    120135.2,    320710.5,    310738.5,    219429.4,    287048.6,    125599.1
   9018.623923, 1.402,  8296.0,    120144.9,    317987.9,    309665.4,    218775.5,    280233.9,    128013.4
   9018.625599, 1.401,  8540.0,    121554.5,    321817.2,    312937.2,    222450.6,    287365.4,    127181.0
   9018.627273, 1.400,  8822.0,    125453.5,    324150.1,    317811.4,    223570.9,    287678.8,    128540.4
   9018.628948, 1.399,  9081.0,    122756.6,    326615.0,    316090.6,    225809.5,    290252.1,    129170.8
   9018.630624, 1.398,  9355.0,    125585.0,    326341.1,    318586.1,    223522.4,    291469.9,    128857.2
   9018.632298, 1.397,  9646.0,    124630.9,    325586.6,    319177.5,    223391.1,    290286.5,    127793.2
   9018.637325, 1.395, 10426.0,    123807.0,    326084.5,    318271.8,    224071.8,    290818.5,    130449.0
   9018.638999, 1.394, 10662.0,    121466.5,    326944.5,    314589.2,    224109.5,    288079.5,    129955.0
   9018.640677, 1.394, 10907.0,    123504.0,    322087.8,    310546.2,    219660.2,    282996.0,    125787.5
   9018.642356, 1.393, 11154.0,    120995.2,    318221.8,    312977.0,    218168.2,    287279.0,    124804.2
   9018.644033, 1.393, 11361.0,    121670.8,    320257.5,    312231.0,    222882.2,    284810.0,    125878.2
   9018.645709, 1.392, 11540.0,    125417.5,    324880.5,    316976.2,    224795.0,    289088.5,    128846.5
   9018.647386, 1.392, 11689.0,    125110.5,    326888.5,    318523.2,    225676.2,    294221.5,    133665.5
   9018.649062, 1.391, 11821.0,    126745.8,    328175.5,    319912.2,    222526.8,    291223.5,    131330.8
   9018.652413, 1.391, 12063.0,    125311.5,    334841.8,    322612.2,    228941.8,    296578.0,    131756.2
   9018.654091, 1.390, 12157.0,    124956.0,    329105.2,    322584.2,    230104.2,    292819.5,    132408.8
   9018.655766, 1.390, 12263.0,    125744.5,    330082.0,    321468.5,    228001.2,    294813.8,    134458.5
   9018.674382, 1.391, 11936.0,    122427.8,    315034.8,    308386.5,    216200.2,    282214.0,    125416.8
   9018.677891, 1.392, 11757.0,    122144.0,    321542.0,    311168.5,    221712.5,    283978.5,    126250.0
   9018.681395, 1.393, 11465.0,    125506.8,    323344.0,    316089.5,    224415.5,    287461.0,    130833.2
   9018.683071, 1.394, 11330.0,    121535.5,    317377.8,    310914.8,    219552.0,    281506.0,    127227.2
   9018.686422, 1.395, 11025.0,    123738.5,    325576.0,    317347.8,    224472.8,    289870.2,    129108.0
   9018.688098, 1.396, 10852.0,    125143.2,    326888.0,    316861.2,    226650.8,    288830.2,    130626.2
   9018.689773, 1.396, 10631.0,    121896.8,    321704.5,    314855.2,    223122.8,    287810.8,    129510.8
   9018.691450, 1.397, 10406.0,    121964.0,    317677.4,    312825.9,    221306.0,    285379.8,    128060.9
   9018.693126, 1.398, 10170.0,    120993.9,    317761.0,    309499.8,    221403.0,    282111.0,    127534.1
   9018.694802, 1.399,  9940.0,    121813.6,    325504.1,    318275.6,    222269.0,    287210.2,    131171.4
   9018.696477, 1.400,  9740.0,    123488.6,    325510.0,    314775.1,    223980.1,    289744.0,    128508.8
   9018.698151, 1.401,  9506.0,    123461.2,    323558.1,    315648.8,    222722.2,    287298.1,    129611.1
   9018.699833, 1.402,  9242.0,    124139.1,    327991.0,    316981.8,    224914.2,    287775.4,    130834.5
   9018.701508, 1.403,  8983.0,    123086.4,    321937.2,    314720.5,    223009.6,    288787.9,    128043.6
   9018.703183, 1.404,  8675.0,    123985.2,    327181.4,    317039.5,    225098.4,    290581.6,    128282.8
   9018.704859, 1.406,  8374.0,    122462.9,    323077.1,    313562.9,    222716.6,    285720.0,    127633.5
   9018.706534, 1.407,  8033.0,    122293.1,    318515.9,    310159.1,    217708.2,    282982.2,    128108.9
   9018.708209, 1.408,  7698.0,    118179.5,    310377.9,    298271.6,    214612.6,    270013.6,    122365.4
   9018.709884, 1.409,  7337.0,    123742.9,    325192.6,    313311.4,    219537.0,    285663.1,    130042.2
   9018.711559, 1.411,  7004.0,    124149.8,    322054.0,    316905.1,    222407.4,    287625.6,    129691.1
   9018.713233, 1.412,  6613.0,    125000.4,    326281.8,    317931.4,    224982.2,    287719.6,    129295.1
   9018.714909, 1.414,  6238.0,    123418.4,    325025.8,    316316.1,    225634.9,    288308.0,    128548.5
   9018.716585, 1.415,  5879.0,    123804.0,    323739.6,    311452.5,    219947.2,    285823.9,    127171.1
   9018.718262, 1.417,  5532.0,    122332.4,    323091.5,    309689.5,    222384.9,    288437.1,    127667.2
   9018.719941, 1.419,  5208.0,    120952.6,    320490.0,    308194.9,    219838.4,    284527.2,    128648.2
   9018.721620, 1.420,  4876.0,    118255.5,    314457.9,    306755.4,    218440.6,    277357.0,    126318.6
   9018.723295, 1.422,  4607.0,    115810.9,    305757.4,    298670.8,    211177.3,    270115.2,    121475.8
   9018.724969, 1.424,  4365.0,    119444.5,    308647.9,    304424.8,    215408.3,    277167.8,    124408.1
   9018.728321, 1.428,  3900.0,    117233.4,    308622.9,    300078.0,    211962.3,    269987.4,    121853.4
   9018.729999, 1.429,  3673.0,    122565.4,    320314.7,    310390.9,    220686.4,    285791.8,    126971.8
   9018.731676, 1.431,  3450.0,    114101.2,    298242.7,    291226.6,    204440.6,    268807.5,    121768.2
   9018.733351, 1.433,  3239.0,    115095.6,    301972.1,    295357.3,    208131.2,    269149.4,    121709.7
   9018.735027, 1.436,  3069.0,    117241.3,    310044.4,    301035.2,    211997.6,    274182.1,    121920.4
   9018.736709, 1.438,  2906.0,    114445.4,    307878.2,    297331.3,    210925.6,    272916.3,    121820.1
   9018.738386, 1.440,  2675.0,    117498.9,    312128.2,    303848.8,    214810.9,    277571.4,    125137.8
   9018.740063, 1.442,  2491.0,    118104.7,    313289.0,    304933.3,    214955.8,    277916.2,    123217.8
   9018.741752, 1.445,  2356.0,    120994.2,    317840.7,    307603.4,    217526.7,    280681.0,    126210.6
   9018.743427, 1.447,  2210.0,    118952.9,    316121.6,    307325.8,    215770.0,    280496.4,    126023.8
   9018.745102, 1.449,  2069.0,    120885.3,    319593.4,    309234.0,    218185.7,    285295.6,    127650.3
   9018.746777, 1.452,  1936.0,    120132.3,    316847.4,    307709.2,    218215.3,    280951.7,    125681.1
   9018.748453, 1.454,  1816.0,    120299.2,    318872.4,    306769.2,    219195.0,    283383.7,    125286.7
